"Month"
"1980-01",464
"1980-02",675
"1980-03",703
"1980-04",887
"1980-05",1139
"1980-06",1077
"1980-07",1318
"1980-08",1260
"1980-09",1120
"1980-10",963
"1980-11",996
"1980-12",960
"1981-01",530
"1981-02",883
"1981-03",894
"1981-04",1045
"1981-05",1199
"1981-06",1287
"1981-07",1565
"1981-08",1577
"1981-09",1076
"1981-10",918
"1981-11",1008
"1981-12",1063
"1982-01",544
"1982-02",635
"1982-03",804
"1982-04",980
"1982-05",1018
"1982-06",1064
"1982-07",1404
"1982-08",1286
"1982-09",1104
"1982-10",999
"1982-11",996
"1982-12",1015
"1983-01",615
"1983-02",722
"1983-03",832
"1983-04",977
"1983-05",1270
"1983-06",1437
"1983-07",1520
"1983-08",1708
"1983-09",1151
"1983-10",934
"1983-11",1159
"1983-12",1209
"1984-01",699
"1984-02",830
"1984-03",996
"1984-04",1124
"1984-05",1458
"1984-06",1270
"1984-07",1753
"1984-08",2258
"1984-09",1208
"1984-10",1241
"1984-11",1265
"1984-12",1828
"1985-01",809
"1985-02",997
"1985-03",1164
"1985-04",1205
"1985-05",1538
"1985-06",1513
"1985-07",1378
"1985-08",2083
"1985-09",1357
"1985-10",1536
"1985-11",1526
"1985-12",1376
"1986-01",779
"1986-02",1005
"1986-03",1193
"1986-04",1522
"1986-05",1539
"1986-06",1546
"1986-07",2116
"1986-08",2326
"1986-09",1596
"1986-10",1356
"1986-11",1553
"1986-12",1613
"1987-01",814
"1987-02",1150
"1987-03",1225
"1987-04",1691
"1987-05",1759
"1987-06",1754
"1987-07",2100
"1987-08",2062
"1987-09",2012
"1987-10",1897
"1987-11",1964
"1987-12",2186
"1988-01",966
"1988-02",1549
"1988-03",1538
"1988-04",1612
"1988-05",2078
"1988-06",2137
"1988-07",2907
"1988-08",2249
"1988-09",1883
"1988-10",1739
"1988-11",1828
"1988-12",1868
"1989-01",1138
"1989-02",1430
"1989-03",1809
"1989-04",1763
"1989-05",2200
"1989-06",2067
"1989-07",2503
"1989-08",2141
"1989-09",2103
"1989-10",1972
"1989-11",2181
"1989-12",2344
"1990-01",970
"1990-02",1199
"1990-03",1718
"1990-04",1683
"1990-05",2025
"1990-06",2051
"1990-07",2439
"1990-08",2353
"1990-09",2230
"1990-10",1852
"1990-11",2147
"1990-12",2286
"1991-01",1007
"1991-02",1665
"1991-03",1642
"1991-04",1518
"1991-05",1831
"1991-06",2207
"1991-07",2822
"1991-08",2393
"1991-09",2306
"1991-10",1785
"1991-11",2047
"1991-12",2171
"1992-01",1212
"1992-02",1335
"1992-03",2011
"1992-04",1860
"1992-05",1954
"1992-06",2152
"1992-07",2835
"1992-08",2224
"1992-09",2182
"1992-10",1992
"1992-11",2389
"1992-12",2724
"1993-01",891
"1993-02",1247
"1993-03",2017
"1993-04",2257
"1993-05",2255
"1993-06",2255
"1993-07",3057
"1993-08",3330
"1993-09",1896
"1993-10",2096
"1993-11",2374
"1993-12",2535
"1994-01",1041
"1994-02",1728
"1994-03",2201
"1994-04",2455
"1994-05",2204
"1994-06",2660
"1994-07",3670
"1994-08",2665
"1994-09",2639
"1994-10",2226
"1994-11",2586
"1994-12",2684
"1995-01",1185
"1995-02",1749
"1995-03",2459
"1995-04",2618
"1995-05",2585
"1995-06",3310
"1995-07",3923

Monthly Australian wine sales: thousands of litres. By wine makers in bottles <= 1 litre.

